,index,CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,1,2,3,4
0,75,103787-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7969476-377227,8036504-394906,7887842-839,7255074-385205
1,76,103787-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7887842-839,7696311-1001,7255074-385219,8036504-394906
2,77,103787-585,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8080294-168,7651819-320474,8021519-370485,7294452-751
3,78,103787-24154,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas;Leather;Suede,,7685947-276151,8164779-65259,7883995-338624,7651819-320474
4,79,103787-30368,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8113323-401,7887842-839,7732020-268420,7983893-358487
5,80,103787-38877,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8021519-370485,7226411-382555,8029424-128267,7651819-320474
6,81,103787-183092,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8080294-168,8021519-370486,7965537-385250,7836531-307048
7,82,103789-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7983893-358487,7980919-357520,7787260-315244,7875441-755
8,83,103789-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7732020-268420,7696311-1001,7983893-358487,7887842-839
9,84,103789-13855,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7255074-385219,8078902-391914,8036504-394906,7965537-385250
10,85,103789-183092,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7696311-1001,7802500-353843,7836531-307048,7896028-345922
11,119,104705-15,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7887842-839,7696311-1001,7983893-358487,8036504-394906
12,120,104705-72,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7983893-358487,7931252-14,8036504-394906,7208295-20321
13,121,104705-130551,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7887842-839,7931252-14,8080294-168,8036504-394906
14,123,104710-3,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Removable,Hook and Loop,Men,Full-grain leather;Leather,Moc Toe;Round Toe,7887842-839,7370409-15,7696311-1001,7952003-274007
15,128,104717-15,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather;Nubuck,,7208295-20321,7983400-358201,7917325-1001,7683984-369195
16,129,104717-72,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather;Nubuck,,7983893-358487,7931252-14,7887842-839,8036504-394906
17,130,104719-3,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather,Moc Toe;Round Toe,7887842-839,7931252-14,7255074-385219,8077616-142648
18,131,104719-14,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather,Moc Toe;Round Toe,7836531-307048,8021519-370485,8080294-168,7752720-732
19,174,105805-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Bicycle Toe;Round Toe;Closed Toe,8036504-394906,7942182-6,7539709-261524,8013374-367321
20,175,105805-15,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Bicycle Toe;Round Toe;Closed Toe,7887842-839,7965537-385250,8036504-394906,7226411-382555
21,196,106070-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Women,Leather;Nylon;Rubber;Terry,,7226411-382555,8058559-3,7255074-385219,8020448-401
22,197,106070-14,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Women,Leather;Nylon;Rubber;Terry,,7931252-14,7983893-358487,7887842-839,8058615-382738
23,206,106667-751,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Removable,Lace up,Women,Faux Leather;Mesh;Synthetic,,7983893-358487,7999840-6,8080294-168,8058559-3
24,246,107999-3,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,8073899-1001,8036504-394906,7630905-1567,7836531-307048
25,247,107999-9,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,8143761-3,8013374-367321,7696311-1001,8021519-370485
26,248,107999-14,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7226411-382555,7977827-324022,8020448-401,7683984-369195
27,249,107999-559,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7931252-14,7696311-1001,7255074-385219,7718630-338385
28,250,107999-585,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7965537-385250,8080294-168,8021519-370485,7836531-307048
29,251,107999-3123,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7909019-331826,7370409-15,7980647-151,7942187-3
30,252,107999-3124,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7887842-839,8036504-394906,8078902-391914,7965537-385250
31,253,108000-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7836531-307048,8020448-401,7208295-20321,7977827-324022
32,254,108000-9,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7255074-385219,8036504-394906,8020448-401,7208295-20321
33,255,108000-14,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7696311-1001,8036504-394906,7983893-358487,7999840-6
34,256,108000-559,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7289976-355626,7881585-353366,7908184-368242,7980986-93647
35,257,108000-585,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7983400-358201,8164779-65259,7836531-307048,7965537-385250
36,258,108000-3123,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,8078902-391914,7887842-839,7553554-2125,7732020-268420
37,259,108000-3124,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7696311-1001,8080294-168,7208295-20321,7836531-307048
38,270,108195-2507,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Padded;Removable,Lace up,Women,Faux Leather;Rubber;Synthetic,,8080294-168,8021519-370485,8036504-394906,7294452-751
39,300,109571-15,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,Round Toe,7208295-20321,8036504-394906,8077616-142648,8020448-401
40,301,109572-9,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Canvas,Round Toe,7255074-385219,7917325-1001,8020448-401,7208295-20321
41,302,109573-15,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,Round Toe,7208295-20321,7917325-1001,8036504-394906,7977827-324022
42,303,109573-72,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,Round Toe,7836531-307048,8080294-168,8036504-394906,7931252-14
43,313,110227-221278,Shoes,Sneakers and Athletic Shoes,Flat,Leather;Padded;Textile,Lace up,Men;Women,Leather;Rubber;Suede,,8036504-394906,7931252-14,7887842-839,7208295-20321
44,355,113232-3605,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,7965537-385250,7732020-268420,7887842-839,8078902-391914
45,359,113569-2911,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Full-grain leather,,8021519-370485,7651819-320474,7752720-732,7983410-358204
46,392,113779-5877,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Mesh,,7208295-20321,7983400-358201,7696311-1001,8036504-394906
47,393,113952-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,8036504-394906,7887842-839,7508775-241368,8078902-391914
48,394,113952-9,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7965537-385250,7942187-3,8087126-146497,7887842-839
49,395,113952-585,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7292926-183092,8013374-367321,7882763-3,7973006-24984
50,396,113952-3932,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7696311-1001,8021519-370485,7977827-324022,8143761-3
51,397,113952-276376,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7696311-1001,8026486-371849,7999840-6,8021519-370485
52,412,115074-6370,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe,7887842-839,7980986-93647,7909019-331826,7942187-3
