,Unnamed: 0,index,CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,5,4,3,2,1,Brand,Name,Color,Price
0,0,75,103787-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8034692-183092,7882063-357851,7975989-368016,7904377-331001,8169712-2557,Vans,Authentic™ Core Classics,Black,54.95
1,1,76,103787-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7888229-147,7838304-374722,7599376-372082,7988043-359905,103787-3,Vans,Authentic™ Core Classics,Navy,54.95
2,2,77,103787-585,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,8067873-28814,8058055-94152,7886312-742,7797360-338936,103787-9,Vans,Authentic™ Core Classics,Red,54.95
3,3,78,103787-24154,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas;Leather;Suede,,8067873-28814,7414493-3,7954006-755,7988678-360036,103787-585,Vans,Authentic™ Core Classics,Black,54.95
4,4,79,103787-30368,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7296120-1834,7971488-353190,7882107-322479,7651970-574,103787-24154,Vans,Authentic™ Core Classics,Black,54.95
5,5,80,103787-38877,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7862354-373274,8053575-275,7811693-19682,7727996-68705,103787-30368,Vans,Authentic™ Core Classics,True White,54.95
6,6,81,103787-183092,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas,,7919188-334676,7991976-408665,7909734-331959,7972309-1413,103787-38877,Vans,Authentic™ Core Classics,Black/Black,54.95
7,7,82,103789-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7878858-338985,7930023-3,7993559-395284,7289975-372086,103787-183092,Vans,Old Skool™ Core Classics,Black,69.95
8,8,83,103789-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,8067873-28814,7926857-287917,7942186-10279,8027570-35250,103789-3,Vans,Old Skool™ Core Classics,Navy,64.99
9,9,84,103789-13855,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7885702-920,8164789-3850,7255074-291675,7909719-28115,103789-9,Vans,Old Skool™ Core Classics,Black/Pewter,69.95
10,10,85,103789-183092,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,,7898404-329101,8107504-4854,7968684-352228,7787260-315244,103789-13855,Vans,Old Skool™ Core Classics,Black/Black,69.95
11,11,119,104705-15,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7896218-750,8074625-390451,8045501-231,7881519-13264,103789-183092,Propet,Stability Walker Medicare/HCPCS Code = A5500 Diabetic Shoe,White Leather,75.96
